# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	125272
#@/user_id	10b11703-f11b-4ced-93f3-8972fad5e0e5
a 	啊	c=1470 d=8.42141 t=125272
wu ding 	屋頂	c=1 d=6.0885e-134 t=125272
wu dou mi 	五斗米	c=1 d=3.17274e-54 t=125272
wu duan 	無端	c=0 d=6.64495e-252 t=125272
wu duan jie 	無端接	c=1 d=6.67827e-251 t=125272
wu fa 	無法	c=49 d=0.00911908 t=125272
wu fan 	午飯	c=16 d=9.44684e-08 t=125272
wu gan 	無感	c=1 d=1.31471e-160 t=125272
wu gan da 	烏干達	c=6 d=5.04406e-20 t=125272
wu gong fei 	誤工費	c=1 d=0.433874 t=125272
wu gu 	無辜	c=1 d=0.0415857 t=125272
wu guan 	無關	c=2 d=0.0608101 t=125272
wu han 	武漢	c=11 d=0.557106 t=125272
wu han ren 	武漢人	c=1 d=2.38196e-05 t=125272
wu hao 	五號	c=2 d=1.69039e-137 t=125272
wu hao 	唔好	c=1 d=3.43036e-237 t=125272
wu he 	五合	c=6 d=0.00133343 t=125272
wu he 	五河	c=1 d=8.16876e-180 t=125272
wu he 	烏合	c=1 d=8.20971e-180 t=125272
wu hou ci 	武侯祠	c=3 d=9.97506e-175 t=125272
wu huan 	五環	c=1 d=1.9854e-39 t=125272
wu hui 	誤會	c=1 d=1 t=125136
wu huo 	無貨	c=1 d=2.98502e-13 t=125272
wu li 	無力	c=7 d=8.64259e-20 t=125272
wu li 	物理	c=6 d=2.69023e-25 t=125272
wu liao 	無聊	c=9 d=1.0081e-36 t=125272
wu liu 	物流	c=2 d=7.09376e-241 t=125272
wu mi 	無迷	c=1 d=1.23054e-117 t=125272
wu mo 	無莫	c=1 d=7.85488e-219 t=125272
wu nai 	無奈	c=0 d=3.54821e-253 t=125272
wu nai de ren li si te 	無奈的人李斯特	c=1 d=3.566e-252 t=125272
wu neng wei li 	無能爲力	c=1 d=6.38979e-114 t=125272
wu po 	巫婆	c=1 d=3.12722e-178 t=125272
wu qian 	五千	c=1 d=5.59808e-146 t=125272
wu qu 	無趣	c=2 d=1.64319e-41 t=125272
wu ran 	污染	c=4 d=0.00012211 t=125272
wu ru 	侮辱	c=2 d=6.85609e-31 t=125272
wu shi 	無事	c=1 d=1.54951e-152 t=125272
wu shi 	無視	c=2 d=3.63132e-54 t=125272
wu shu ci 	無數次	c=1 d=0.00357068 t=125272
wu shui 	午睡	c=1 d=1 t=124155
wu suo wei 	無所謂	c=6 d=2.65334e-39 t=125272
wu ti 	物體	c=4 d=3.09082e-11 t=125272
wu tou 	悟透	c=1 d=1.22149e-89 t=125272
wu wei 	無爲	c=1 d=3.94596e-61 t=125272
wu xi 	無錫	c=1 d=8.08223e-143 t=125272
wu xian 	無線	c=3 d=2.42043e-17 t=125272
wu xian 	無限	c=5 d=2.69473e-74 t=125272
wu xian pu 	五線譜	c=4 d=2.96499e-73 t=125272
wu xian qian 	無線牽	c=1 d=1.53162e-45 t=125272
wu xian wang 	無線網	c=1 d=3.00317e-143 t=125272
wu xiang 	五項	c=1 d=5.43228e-204 t=125272
wu xiao 	無效	c=6 d=0.000313081 t=125272
wu xiao jie 	吳小姐	c=1 d=1 t=123175
wu xiu 	午休	c=1 d=1.58145e-98 t=125272
wu xiu gai 	無修改	c=1 d=1 t=123646
wu ya li 	無壓力	c=1 d=9.62364e-79 t=125272
wu ya zui 	烏鴉嘴	c=1 d=4.32993e-124 t=125272
wu ye 	午夜	c=2 d=1.42348e-154 t=125272
wu ye 	物業	c=2 d=9.76805e-19 t=125272
wu yi 	五一	c=1 d=9.15778e-201 t=125272
wu yi 	無意	c=1 d=9.20368e-201 t=125272
wu yi 	無疑	c=1 d=9.1121e-201 t=125272
wu yi yi 	無意義	c=1 d=3.22902e-55 t=125272
wu yi yu 	無異於	c=1 d=7.91757e-48 t=125272
wu yin 	無印	c=1 d=2.32988e-39 t=125272
wu yue 	五月	c=1 d=3.07949e-56 t=125272
wu zhang ke xun 	無張可循	c=1 d=1.15561e-25 t=125272
wu zhong 	物種	c=1 d=1.30769e-09 t=125272
wu zi 	屋子	c=1 d=7.29641e-28 t=125272
wu zui 	無罪	c=1 d=3.23673e-83 t=125272
xi 	吸	c=4 d=0.116484 t=125272
xi 	喜	c=1 d=1.31982e-88 t=125272
xi 	戲	c=1 d=3.42079e-116 t=125272
xi 	洗	c=15 d=0.00419023 t=125272
xi 	禧	c=2 d=1.63725e-146 t=125272
xi 	系	c=7 d=3.48089e-115 t=125272
xi 	細	c=2 d=1.77955e-16 t=125272
xi 	西	c=6 d=2.61837e-31 t=125272
xi ai 	喜愛	c=1 d=5.11381e-112 t=125272
xi ai ni 	喜愛你	c=1 d=5.13944e-111 t=125272
xi an 	西安	c=78 d=0.121854 t=125272
xi an shi 	西安市	c=4 d=7.35971e-12 t=125272
xi ban ya 	西班牙	c=1 d=1.03274e-26 t=125272
xi bao 	細胞	c=5 d=2.40585e-26 t=125272
xi bei 	西北	c=12 d=6.7204e-31 t=125272
xi bu 	西部	c=7 d=6.83092e-68 t=125272
xi chang 	西昌	c=2 d=1.13524e-173 t=125272
xi da jie 	西大街	c=1 d=2.6315e-30 t=125272
xi dan 	西單	c=1 d=6.26244e-230 t=125272
xi er 	希爾	c=1 d=6.40544e-84 t=125272
xi fa shui 	洗髮水	c=2 d=0.00729913 t=125272
xi fu 	媳婦	c=6 d=2.79526e-05 t=125272
xi gua 	西瓜	c=5 d=1.87087e-134 t=125272
xi guai 	系乖	c=4 d=4.3154e-202 t=125272
xi guan 	習慣	c=26 d=0.0123355 t=125272
xi guan xing 	習慣性	c=4 d=0.00181809 t=125272
xi han 	稀罕	c=1 d=1.02115e-246 t=125272
xi hao 	喜好	c=2 d=1.84138e-153 t=125272
xi huan 	喜歡	c=110 d=0.0322413 t=125272
xi hun 	錫婚	c=1 d=5.64088e-118 t=125272
xi jiao 	西郊	c=5 d=1.24677e-26 t=125272
xi jie 	細節	c=4 d=1.13895e-60 t=125272
xi jie 	西街	c=5 d=7.47094e-12 t=125272
xi ju 	喜劇	c=1 d=6.79921e-81 t=125272
xi ju zhi wang 	喜劇之王	c=1 d=6.8333e-80 t=125272
xi ke 	稀客	c=0 d=2.17165e-183 t=125272
xi li 	西里	c=1 d=6.52087e-147 t=125272
xi lie 	系列	c=4 d=1.10037e-37 t=125272
xi men zi 	西門子	c=1 d=2.56096e-122 t=125272
xi na 	吸納	c=0 d=8.89771e-216 t=125272
xi nan 	西南	c=0 d=7.3628e-20 t=125272
xi nan cun 	西南村	c=1 d=4.68383e-19 t=125272
xi nan zu 	西南組	c=4 d=7.50839e-12 t=125272
xi ning 	西寧	c=6 d=1.16882e-179 t=125272
xi niu 	犀牛	c=7 d=1.40137e-109 t=125272
xi niu shu 	犀牛書	c=4 d=1.5481e-109 t=125272
xi o ang 	系哦昂	c=1 d=8.18815e-189 t=125272
xi o ang ming zao 	系哦昂明早	c=1 d=7.14204e-188 t=125272
xi ou 	西歐	c=0 d=0.1 t=124576
xi ou ta na ge 	西歐他哪個	c=1 d=1 t=124577
xi qi 	吸氣	c=2 d=5.08209e-126 t=125272
xi quan 	洗全	c=1 d=6.22248e-96 t=125272
xi que 	稀缺	c=1 d=6.25368e-96 t=125272
xi sheng 	犧牲	c=2 d=1.81562e-09 t=125272
xi shu 	係數	c=1 d=8.59196e-186 t=125272
xi shu 	洗漱	c=1 d=8.67832e-186 t=125272
xi shuang 	洗爽	c=2 d=1.47703e-160 t=125272
xi shuang ban na 	西雙版納	c=18 d=2.57651e-105 t=125272
xi shui 	吸水	c=2 d=3.64281e-67 t=125272
xi shui ban 	吸水板	c=1 d=1.52684e-67 t=125272
xi shui jin 	吸水巾	c=18 d=2.97412e-66 t=125272
xi tong 	系統	c=21 d=0.0778548 t=125272
xi wan 	洗完	c=4 d=4.55503e-132 t=125272
xi wan 	洗碗	c=1 d=1.74433e-163 t=125272
xi wan zao 	洗完早	c=2 d=8.05311e-152 t=125272
xi wang 	希望	c=26 d=3.3202e-05 t=125272
xi wei 	細微	c=2 d=2.24451e-239 t=125272
xi wen 	細紋	c=1 d=1.76109e-246 t=125272
xi wen 	西文	c=5 d=1.29092e-05 t=125272
xi wo na 	系我那	c=1 d=5.47901e-100 t=125272
xi wo na ge 	系我那個	c=1 d=5.50647e-99 t=125272
xi xi 	洗洗	c=7 d=0.257947 t=125272
xi xi shui 	洗洗睡	c=1 d=0.0182243 t=125272
xi xin 	細心	c=1 d=1.51768e-55 t=125272
xi yang 	夕陽	c=0 d=0.000273944 t=125272
xi yang shi 	夕陽時	c=1 d=0.00275318 t=125272
xi yi ji 	洗衣機	c=3 d=7.37751e-11 t=125272
xi yin 	吸引	c=3 d=6.3322e-37 t=125272
xi yin ren 	吸引人	c=1 d=9.57463e-19 t=125272
xi you 	稀有	c=2 d=1.09307e-98 t=125272
xi you ji 	西遊記	c=1 d=3.11151e-60 t=125272
xi yu 	棲於	c=0 d=7.53839e-148 t=125272
xi yu an 	棲於安	c=1 d=7.57618e-147 t=125272
xi yuan 	西苑	c=0 d=7.50079e-148 t=125272
xi zang 	西藏	c=14 d=1.20605e-65 t=125272
xi zao 	洗澡	c=5 d=4.2598e-80 t=125272
xi zhi 	細緻	c=1 d=3.0312e-164 t=125272
xia 	下	c=84 d=0.872284 t=125272
xia 	夏	c=4 d=8.85658e-39 t=125272
xia 	蝦	c=2 d=8.90142e-106 t=125272
xia ban 	下班	c=66 d=0.947657 t=125272
xia ban la 	下班啦	c=1 d=1 t=124261
xia bi mang 	瞎逼忙	c=2 d=1.98511 t=123249
xia chu fang 	下廚房	c=1 d=3.97101e-106 t=125272
xia chuang 	下牀	c=1 d=3.04895e-27 t=125272
xia ci 	下次	c=20 d=8.24538e-23 t=125272
xia ci 	瑕疵	c=1 d=5.86467e-17 t=125272
xia dan 	下單	c=12 d=0.00463429 t=125272
xia dan jiu 	下單就	c=1 d=4.28813e-10 t=125272
xia de 	下的	c=0 d=0.1 t=124372
xia de liao chu fang 	下得了廚房	c=1 d=0.180866 t=125272
xia de ting tang 	下的廳堂	c=1 d=1 t=124373
xia fang 	下方	c=2 d=2.74145e-239 t=125272
xia ge 	下個	c=12 d=1.44921e-12 t=125272
xia ge yue 	下個月	c=1 d=8.90948e-113 t=125272
xia guo 	下過	c=1 d=1.14268e-216 t=125272
xia hai 	下海	c=2 d=1.40735e-167 t=125272
xia hu 	嚇唬	c=1 d=1.85539e-07 t=125272
xia hua xian 	下劃線	c=5 d=8.61734e-15 t=125272
xia ji 	夏季	c=1 d=0.00375375 t=125272
xia jia 	下嫁	c=1 d=2.4259e-161 t=125272
xia jia 	下家	c=1 d=1.16982e-198 t=125272
xia jia 	下架	c=1 d=1.16398e-198 t=125272
xia jia he 	夏家河	c=1 d=7.88914e-182 t=125272
xia ke 	下課	c=2 d=4.80961e-66 t=125272
xia la 	下拉	c=2 d=3.07426e-36 t=125272
xia la kuang 	下拉框	c=1 d=3.08967e-36 t=125272
xia lai 	下來	c=5 d=0.00882647 t=125272
xia lia 	下倆	c=1 d=5.22533e-247 t=125272
xia lou 	下樓	c=2 d=0.00171216 t=125272
xia ma 	下馬	c=1 d=1.30713e-239 t=125272
xia men 	廈門	c=31 d=0.264477 t=125272
xia mi 	蝦米	c=4 d=4.43544e-25 t=125272
xia mian 	下面	c=40 d=0.00172516 t=125272
xia peng 	夏鵬	c=1 d=6.60191e-204 t=125272
xia po lu 	下坡路	c=1 d=0.00565622 t=125272
xia pu 	下鋪	c=1 d=4.19094e-05 t=125272
xia qu 	下去	c=4 d=2.13923e-64 t=125272
xia shou 	下手	c=2 d=1.47744e-155 t=125272
xia shui 	下水	c=3 d=1.89916e-155 t=125272
xia tian 	夏天	c=10 d=0.00345 t=125272
xia wei yi 	夏威夷	c=1 d=1.10608e-39 t=125272
xia wu 	下午	c=56 d=0.00411114 t=125272
xia wu hao 	下午好	c=1 d=2.513e-223 t=125272
xia wu jin cheng 	下午進城	c=1 d=1.16172e-87 t=125272
xia xia 	下下	c=1 d=2.60526e-206 t=125272
xia xia ban 	下下班	c=1 d=2.6712e-206 t=125272
xia xia zhou 	下下周	c=1 d=3.31746e-255 t=125272
xia xian 	下線	c=4 d=4.38743e-44 t=125272
xia xue 	下雪	c=6 d=3.27291e-08 t=125272
xia xue le 	下雪了	c=1 d=1.04593e-87 t=125272
xia yan 	瞎眼	c=1 d=1.44843e-35 t=125272
xia yi 	下一	c=1 d=2.74729e-66 t=125272
xia yi bu 	下一步	c=2 d=2.42944e-90 t=125272
xia yi ge 	下一個	c=1 d=1 t=124445
xia yi shi 	下意識	c=2 d=1.41115e-119 t=125272
xia yi zhan 	下一站	c=2 d=5.30116e-05 t=125272
xia yi zu 	下一組	c=1 d=3.09924e-43 t=125272
xia yu 	下雨	c=7 d=0.280832 t=125272
xia yu le 	下雨了	c=1 d=1.82164e-232 t=125272
xia yue 	下月	c=4 d=5.13553e-49 t=125272
xia yue chu 	下月初	c=1 d=2.77056e-77 t=125272
xia zai 	下載	c=80 d=0.133322 t=125272
xia zai ye 	下載也	c=1 d=7.49666e-23 t=125272
xia zao 	下早	c=1 d=6.65778e-68 t=125272
xia zhou 	下週	c=15 d=1.80885e-61 t=125272
xia zhou yi 	下週一	c=1 d=2.13219e-84 t=125272
xian 	先	c=249 d=2.03137 t=125272
xian 	嫌	c=2 d=5.54144e-144 t=125272
xian 	嫻	c=1 d=6.54019e-123 t=125272
xian 	現	c=2 d=5.98378e-77 t=125272
xian 	線	c=18 d=0.212402 t=125272
xian 	閒	c=21 d=0.470011 t=125272
xian chang 	現場	c=9 d=1.71669e-107 t=125272
xian chen 	纖塵	c=0 d=2.1383e-148 t=125272
xian cheng 	線程	c=1 d=1.17217e-251 t=125272
xian cheng 	縣城	c=3 d=1.97053e-127 t=125272
xian chi 	先吃	c=1 d=1.17735e-09 t=125272
xian chu 	顯出	c=1 d=1.03194e-252 t=125272
xian dan 	鹹蛋	c=3 d=2.30918 t=124149
xian dao 	先到	c=1 d=4.1671e-173 t=125272
xian fa 	憲法	c=1 d=4.7075e-137 t=125272
xian feng 	先鋒	c=1 d=3.96034e-45 t=125272
xian gu 	仙姑	c=1 d=1.18761e-111 t=125272
xian gu gan 	先骨幹	c=1 d=1.50725e-209 t=125272
xian hua 	鮮花	c=1 d=4.74577e-144 t=125272
xian ji 	縣級	c=2 d=3.59373e-59 t=125272
xian jin 	先進	c=0 d=2.25506e-244 t=125272
xian jin 	現金	c=2 d=0.375311 t=125272
xian jin 	陷進	c=3 d=0.00568826 t=125272
xian ju 	縣局	c=0 d=1.77335e-211 t=125272
xian ju 	閒居	c=1 d=2.86575e-92 t=125272
xian ju bing lu 	嫌句柄錄	c=1 d=9.92895e-211 t=125272
xian ju bing lu 	鮮橘冰露	c=1 d=9.97872e-211 t=125272
xian ju ji du 	縣局幾度	c=1 d=1.78224e-210 t=125272
xian ka 	顯卡	c=2 d=6.0244e-39 t=125272
xian liang 	限量	c=1 d=2.63427e-13 t=125272
xian lu 	線路	c=6 d=3.24069e-68 t=125272
xian lu tu 	線路圖	c=1 d=1.82592e-142 t=125272
xian mang 	先忙	c=1 d=5.69001e-73 t=125272
xian mian 	限免	c=1 d=8.79441e-19 t=125272
xian mu 	羨慕	c=3 d=1.9858e-12 t=125272
xian mu ji du 	羨慕嫉妒	c=1 d=1.79117e-210 t=125272
xian qi lai 	掀起來	c=1 d=6.42665e-211 t=125272
xian qian 	先前	c=1 d=3.79502e-249 t=125272
xian qu 	先去	c=2 d=2.79519e-232 t=125272
xian shang 	線上	c=8 d=0.10383 t=125272
xian sheng 	先生	c=4 d=0.000278804 t=125272
xian shi 	現實	c=2 d=2.75018e-49 t=125272
xian shi 	顯示	c=54 d=0.0575426 t=125272
xian shi qi 	顯示器	c=3 d=0.0380064 t=125272
xian shu 	嫻熟	c=1 d=5.10343e-234 t=125272
xian su 	限速	c=1 d=5.82729e-30 t=125272
xian suo 	線索	c=1 d=8.16677e-89 t=125272
xian xi 	纖細	c=1 d=1.07671e-46 t=125272
xian xia 	閒暇	c=0 d=2.60792e-219 t=125272
xian xia shi jian 	閒暇時間	c=1 d=2.62099e-218 t=125272
xian xian 	顯現	c=2 d=4.73843e-174 t=125272
xian yan 	鮮豔	c=1 d=1.034e-11 t=125272
xian yi 	嫌疑	c=1 d=3.90536e-57 t=125272
xian yong 	先用	c=1 d=3.00928e-20 t=125272
xian you 	現有	c=12 d=5.86353e-05 t=125272
xian zai 	現在	c=354 d=1.32214 t=125272
xian zai de 	現在的	c=1 d=4.07969e-12 t=125272
xian zai zai 	現在在	c=1 d=8.11334e-100 t=125272
xian zao 	險遭	c=1 d=6.89728e-72 t=125272
xian zhi 	限制	c=6 d=6.70328e-54 t=125272
xian zhu 	顯著	c=1 d=2.228e-248 t=125272
xian zi 	仙子	c=1 d=5.21962e-146 t=125272
xiang 	像	c=37 d=1.4846e-06 t=125272
xiang 	向	c=5 d=3.37008e-21 t=125272
xiang 	想	c=337 d=0.362039 t=125272
xiang 	箱	c=1 d=4.50171e-23 t=125272
xiang 	響	c=4 d=2.04191e-75 t=125272
xiang 	香	c=3 d=2.12452e-71 t=125272
xiang ban fa 	想辦法	c=3 d=3.33661e-205 t=125272
xiang bu qi lai 	想不起來	c=1 d=2.51177e-41 t=125272
xiang ce 	相冊	c=5 d=3.17996e-51 t=125272
xiang ce ye 	相冊也	c=1 d=1.40701e-76 t=125272
xiang chi 	想吃	c=0 d=4.98352e-220 t=125272
xiang ci 	想次	c=2 d=2.01363e-58 t=125272
xiang dang 	相當	c=10 d=2.44509e-48 t=125272
xiang dang yu 	相當於	c=3 d=2.43008e-05 t=125272
xiang dao 	想到	c=4 d=0.0029528 t=125272
xiang dui 	相對	c=2 d=4.68354e-78 t=125272
xiang dui lu jing 	相對路徑	c=1 d=4.70701e-77 t=125272
xiang dui yu 	相對於	c=3 d=6.97962e-08 t=125272
xiang fa 	想法	c=8 d=1.52295 t=125272
xiang fu 	相符	c=1 d=6.51374e-46 t=125272
xiang gang 	香港	c=13 d=8.11827e-19 t=125272
xiang ge 	像個	c=2 d=1.60148e-179 t=125272
xiang ge li la 	香格里拉	c=8 d=1.1265e-19 t=125272
xiang guan 	相關	c=14 d=3.12194e-180 t=125272
xiang guang 	向光	c=2 d=1.45748e-167 t=125272
xiang gui 	香閨	c=1 d=9.37395e-152 t=125272
xiang guo 	想過	c=2 d=4.82155e-07 t=125272
xiang hao 	想好	c=4 d=1.06767e-35 t=125272
xiang hou 	向後	c=2 d=5.16625e-84 t=125272
xiang huan 	想換	c=1 d=1.39909e-39 t=125272
xiang huo 	香火	c=1 d=1.51561e-39 t=125272
xiang ji 	相機	c=9 d=0.00109172 t=125272
xiang jia 	想家	c=1 d=1.3704e-60 t=125272
xiang jiao 	香蕉	c=2 d=9.36272e-130 t=125272
xiang jie 	詳解	c=4 d=0.00124951 t=125272
xiang liang 	響亮	c=1 d=3.01688e-79 t=125272
xiang long 	向龍	c=1 d=1.6055e-11 t=125272
xiang mai 	想買	c=1 d=4.80536e-85 t=125272
xiang mao 	相貌	c=3 d=1.05846e-72 t=125272
xiang mu 	項目	c=51 d=0.00339132 t=125272
xiang mu liu 	項目劉	c=1 d=3.57482e-46 t=125272
xiang nian 	想念	c=1 d=3.90524e-86 t=125272
xiang qi 	想起	c=15 d=1.10897e-11 t=125272
xiang qi lai 	想起來	c=6 d=7.50176e-31 t=125272
xiang qian 	向前	c=1 d=2.90302e-97 t=125272
xiang qin 	相親	c=5 d=1.34752e-09 t=125272
xiang qing 	詳情	c=1 d=4.58128e-82 t=125272
xiang qing chun 	想清純	c=1 d=1.74066e-197 t=125272
xiang qing ye 	詳情頁	c=13 d=7.38799e-54 t=125272
xiang qu 	想去	c=5 d=0.0095616 t=125272
xiang rang 	想讓	c=1 d=2.3314e-76 t=125272
xiang shou 	享受	c=4 d=3.15326e-11 t=125272
xiang si 	相似	c=7 d=5.05763e-39 t=125272
xiang si bing 	相思病	c=1 d=7.66976e-115 t=125272
xiang su 	像素	c=1 d=2.42117e-50 t=125272
xiang tan 	湘潭	c=1 d=1.36386e-180 t=125272
xiang ti 	箱體	c=1 d=4.00014e-45 t=125272
xiang tong 	相同	c=3 d=8.03697e-77 t=125272
xiang wang 	嚮往	c=1 d=1.0605e-44 t=125272
xiang wei 	香味	c=1 d=1.10022e-06 t=125272
xiang wen 	想問	c=1 d=1.07116e-44 t=125272
xiang xi 	向西	c=1 d=6.16201e-40 t=125272
xiang xi 	詳細	c=16 d=0.000642592 t=125272
xiang xiang 	想想	c=19 d=6.39888e-05 t=125272
xiang xiang 	想象	c=3 d=8.91186e-28 t=125272
xiang xin 	相信	c=11 d=0.704688 t=125272
xiang xin ren 	想信任	c=1 d=1.46723e-216 t=125272
xiang xin ren 	相信人	c=1 d=1.47459e-216 t=125272
xiang yao 	想要	c=5 d=9.59615e-16 t=125272
xiang ying 	相應	c=1 d=1.0769e-48 t=125272
xiang ying 	響應	c=3 d=0.718924 t=125272
xiang zhe 	想着	c=3 d=1.39145e-151 t=125272
xiang zi 	巷子	c=2 d=6.44612e-129 t=125272
xiang zi 	箱子	c=11 d=1.30153e-71 t=125272
xiao 	小	c=76 d=0.0125464 t=125272
xiao 	笑	c=4 d=1.25634e-67 t=125272
xiao ai 	小愛	c=1 d=9.55456e-200 t=125272
xiao bao 	小寶	c=5 d=4.62485e-07 t=125272
xiao bu 	小步	c=2 d=1.94934e-51 t=125272
xiao can 	笑慘	c=1 d=3.36541e-218 t=125272
xiao cao 	小曹	c=5 d=1.67195e-135 t=125272
xiao cao 	小草	c=1 d=2.2002e-218 t=125272
xiao ce 	小冊	c=1 d=2.24466e-218 t=125272
xiao cha 	小差	c=1 d=5.48723e-146 t=125272
xiao cheng shi 	小城市	c=1 d=8.50957e-14 t=125272
xiao chi 	小吃	c=5 d=8.19322e-127 t=125272
xiao chuan 	小船	c=1 d=2.67356e-187 t=125272
xiao dian 	小店	c=1 d=4.39761e-130 t=125272
xiao dian 	校點	c=1 d=2.22995e-82 t=125272
xiao dian 	笑點	c=1 d=2.24113e-82 t=125272
xiao dui 	校隊	c=2 d=3.03303e-83 t=125272
xiao e 	小額	c=1 d=6.56536e-80 t=125272
xiao fei 	消費	c=2 d=1.25847e-87 t=125272
xiao fei ka 	消費卡	c=1 d=5.60934e-199 t=125272
xiao gai lv 	小概率	c=2 d=1.08012e-208 t=125272
xiao gong 	小功	c=1 d=2.09395e-77 t=125272
xiao gong si 	小公司	c=4 d=7.51098e-96 t=125272
xiao gou 	小狗	c=1 d=4.00669e-123 t=125272
xiao guo 	效果	c=20 d=7.44785e-05 t=125272
xiao guo qi 	效果器	c=3 d=0.000992781 t=125272
xiao hai 	小孩	c=7 d=5.7752e-42 t=125272
xiao hao 	消耗	c=2 d=3.32677e-161 t=125272
xiao he 	小鶴	c=2 d=8.44263e-76 t=125272
xiao hei 	小黑	c=1 d=7.22381e-29 t=125272
xiao hei wu 	小黑無	c=1 d=7.26002e-28 t=125272
xiao hua 	笑話	c=1 d=6.77711e-218 t=125272
xiao jian 	小件	c=1 d=1.83476e-140 t=125272
xiao jie 	小姐	c=1 d=2.78132e-06 t=125272
xiao jie 	曉潔	c=1 d=1.63793e-11 t=125272
xiao jie 	曉結	c=1 d=2.97199e-226 t=125272
xiao jing 	孝敬	c=1 d=2.51348e-49 t=125272
xiao jing 	小靜	c=1 d=1 t=123388
xiao jing teng 	蕭敬滕	c=2 d=6.01928e-29 t=125272
xiao ju 	小聚	c=1 d=1.96411e-118 t=125272
xiao ka 	小卡	c=1 d=5.27651e-09 t=125272
xiao kao 	校考	c=1 d=2.71109e-57 t=125272
xiao le 	笑了	c=1 d=1.25458e-80 t=125272
xiao lei 	小雷	c=1 d=1.08226e-77 t=125272
xiao li 	效力	c=1 d=8.36097e-42 t=125272
xiao long 	小龍	c=2 d=2.75789e-168 t=125272
xiao lu 	小路	c=2 d=7.76004e-135 t=125272
xiao lv 	效率	c=14 d=1.28828e-11 t=125272
xiao lv dian 	小旅店	c=1 d=1.66672e-157 t=125272
xiao ma 	小馬	c=1 d=8.25955e-163 t=125272
xiao mai 	小麥	c=1 d=1.12547e-67 t=125272
xiao mai hei pi 	小麥黑啤	c=1 d=2.67758e-234 t=125272
xiao mai hei pi 	小麥黑皮	c=1 d=2.59844e-234 t=125272
xiao mi 	小米	c=4 d=1.17451e-10 t=125272
xiao mian qiu 	小棉球	c=1 d=1.75306e-16 t=125272
xiao mie 	消滅	c=2 d=3.77592e-64 t=125272
xiao nei 	校內	c=0 d=1.07099e-190 t=125272
xiao nei ge 	校內個	c=1 d=1.07636e-189 t=125272
xiao niao 	小鳥	c=1 d=2.38377e-102 t=125272
xiao niu 	小妞	c=1 d=2.07221e-160 t=125272
xiao niu 	小牛	c=2 d=3.64069e-47 t=125272
xiao pi hai 	小屁孩	c=1 d=2.33353e-28 t=125272
xiao qi 	小氣	c=3 d=1.63593e-26 t=125272
xiao qi 	小齊	c=4 d=1.61965e-26 t=125272
xiao qi gui 	小氣鬼	c=3 d=0.0389686 t=125272
xiao qi ye 	小企業	c=1 d=8.6571e-216 t=125272
xiao qie 	小竊	c=1 d=3.64307e-92 t=125272
xiao qu 	小區	c=16 d=1.64773 t=125272
xiao sa 	瀟灑	c=1 d=2.01444e-05 t=125272
xiao san 	小三	c=1 d=8.80134e-87 t=125272
xiao shang 	小商	c=0 d=3.98047e-135 t=125272
xiao shang dian 	小商點	c=1 d=4.00043e-134 t=125272
xiao shen ke 	肖申克	c=4 d=8.67691e-86 t=125272
xiao sheng 	小生	c=1 d=1.92025e-117 t=125272
xiao sheng 	笑聲	c=1 d=1.91067e-117 t=125272
xiao shi 	小時	c=71 d=0.0146909 t=125272
xiao shi 	消失	c=3 d=6.71263e-09 t=125272
xiao shi ba 	小時吧	c=1 d=5.7519e-112 t=125272
xiao shi hou 	小時候	c=6 d=0.0824965 t=125272
xiao shou 	小受	c=1 d=6.83308e-109 t=125272
xiao shou 	銷售	c=2 d=1.03916e-187 t=125272
xiao shun 	孝順	c=2 d=3.25042e-162 t=125272
xiao si 	笑死	c=1 d=2.85351e-218 t=125272
xiao ti qin 	小提琴	c=2 d=2.91429e-25 t=125272
xiao tong 	小童	c=1 d=3.88258e-47 t=125272
xiao tong xue 	小童學	c=2 d=6.78981e-240 t=125272
xiao tou 	小偷	c=1 d=3.90204e-47 t=125272
xiao tou gui 	小頭鬼	c=1 d=6.56739e-113 t=125272
xiao tu 	小兔	c=1 d=6.2123e-24 t=125272
xiao tu pu 	小兔噗	c=1 d=5.91234e-24 t=125272
xiao tuan dui 	小團隊	c=1 d=5.72633e-89 t=125272
xiao xi 	消息	c=26 d=0.6892 t=125272
xiao xie 	小寫	c=6 d=5.07221e-15 t=125272
xiao xie 	消協	c=1 d=2.65644e-229 t=125272
xiao xin 	孝心	c=1 d=1.34647e-88 t=125272
xiao xin 	小心	c=13 d=3.49677e-51 t=125272
xiao xin 	小新	c=24 d=3.06215e-19 t=125272
xiao xin wo 	小新我	c=1 d=1.83407e-165 t=125272
xiao xin yan 	小心眼	c=1 d=1.73805e-150 t=125272
xiao xing 	小型	c=2 d=2.25205e-51 t=125272
xiao xue 	小學	c=2 d=1.18923e-127 t=125272
xiao yan yao 	消炎藥	c=1 d=2.71773e-27 t=125272
xiao yang 	小樣	c=2 d=9.71972e-137 t=125272
xiao ying 	效應	c=2 d=1.61125e-53 t=125272
xiao you 	校友	c=1 d=1 t=123277
xiao yu 	小於	c=4 d=4.5696e-52 t=125272
xiao yuan 	校園	c=1 d=3.92093e-46 t=125272
xiao yuan xian feng 	校園先鋒	c=1 d=4.39251e-87 t=125272
